"genes","total_intra","rare","prev","rare_ratio"
"Aplf_chr6_87628424_87672193_-_ENSMUSG00000030051.10_ENSMUSG00000030051.10.unspliced",112,47,58,0.419642857142857
"Aplp2_chr9_31149557_31211815_-_ENSMUSG00000031996.17_ENSMUSG00000031996.17.unspliced",65,17,44,0.261538461538462
"Apmap_chr2_150583080_150608567_-_ENSMUSG00000033096.7_ENSMUSG00000033096.7.unspliced",64,18,42,0.28125
"Apobec3_chr15_79891659_79915906_+_ENSMUSG00000009585.18_ENSMUSG00000009585.18.unspliced",69,19,48,0.27536231884058
"Apobec3_chr15_79891659_79915906_+_ENSMUSG00000009585.18_ENSMUST00000109620.9",67,25,40,0.373134328358209
"Apobr_chr7_126584942_126589112_+_ENSMUSG00000042759.12_ENSMUSG00000042759.12.unspliced",63,25,38,0.396825396825397
"Apoe_chr7_19696109_19699188_-_ENSMUSG00000002985.16_ENSMUSG00000002985.16.unspliced",70,13,57,0.185714285714286
"Apol7d_chr1_71652837_71662843_+_ENSMUSG00000073652.10_ENSMUSG00000073652.10.unspliced",56,25,31,0.446428571428571
"Apoo_chrX_94367117_94417093_+_ENSMUSG00000079508.8_ENSMUSG00000079508.8.unspliced",63,30,32,0.476190476190476
"Apool_chrX_112311334_112372755_+_ENSMUSG00000025525.12_ENSMUSG00000025525.12.unspliced",47,5,41,0.106382978723404
"Apopt1_chr12_111713261_111755053_+_ENSMUSG00000037787.14_ENSMUSG00000037787.14.unspliced",107,15,82,0.14018691588785
"Apopt1_chr12_111713261_111755053_+_ENSMUSG00000037787.14_ENSMUST00000162316.1",76,14,59,0.184210526315789
"App_chr16_84949685_85173766_-_ENSMUSG00000022892.11_ENSMUSG00000022892.11.unspliced",60,24,33,0.4
"Appbp2_chr11_85187262_85235130_-_ENSMUSG00000018481.9_ENSMUSG00000018481.9.unspliced",61,19,38,0.311475409836066
"Appbp2os_chr11_85234775_85238304_+_ENSMUSG00000085628.4_ENSMUSG00000085628.4.unspliced",69,37,31,0.536231884057971
"Appl1_chr14_26918988_26971232_-_ENSMUSG00000040760.11_ENSMUSG00000040760.11.unspliced",69,14,52,0.202898550724638
"Appl2_chr10_83600033_83648738_-_ENSMUSG00000020263.14_ENSMUSG00000020263.14.unspliced",62,20,41,0.32258064516129
"Aptx_chr4_40682382_40703194_-_ENSMUSG00000028411.15_ENSMUSG00000028411.15.unspliced",60,2,58,0.0333333333333333
"Aqp11_chr7_97724006_97738289_-_ENSMUSG00000042797.9_ENSMUSG00000042797.9.unspliced",76,30,45,0.394736842105263
"Aqp3_chr4_41092722_41098183_-_ENSMUSG00000028435.8_ENSMUSG00000028435.8.unspliced",80,48,30,0.6
"Aqr_chr2_114101170_114187024_-_ENSMUSG00000040383.16_ENSMUSG00000040383.16.unspliced",75,13,55,0.173333333333333
"Araf_chrX_20797814_20860519_+_ENSMUSG00000001127.12_ENSMUSG00000001127.12.unspliced",52,3,49,0.0576923076923077
"Araf_chrX_20797814_20860519_+_ENSMUSG00000001127.12_ENSMUST00000122312.7",94,25,67,0.265957446808511
"Arap1_chr7_101348067_101412586_+_ENSMUSG00000032812.18_ENSMUSG00000032812.18.unspliced",85,17,63,0.2
"Arap2_chr5_62602445_62766159_-_ENSMUSG00000037999.13_ENSMUSG00000037999.13.unspliced",63,14,49,0.222222222222222
"Arap2_chr5_62602445_62766159_-_ENSMUSG00000037999.13_ENSMUST00000076623.7",67,3,64,0.0447761194029851
"Arap3_chr18_37972628_37998969_-_ENSMUSG00000024451.9_ENSMUSG00000024451.9.unspliced",70,8,61,0.114285714285714
"Arcn1_chr9_44741564_44767845_-_ENSMUSG00000032096.16_ENSMUSG00000032096.16.unspliced",49,4,44,0.0816326530612245
"Arel1_chr12_84918148_84970900_-_ENSMUSG00000042350.13_ENSMUSG00000042350.13.unspliced",82,27,51,0.329268292682927
"Arf1_chr11_59211412_59228270_-_ENSMUSG00000048076.14_ENSMUSG00000048076.14.unspliced",79,19,53,0.240506329113924
"Arf2_chr11_103966739_103985337_+_ENSMUSG00000062421.13_ENSMUSG00000062421.13.unspliced",94,39,51,0.414893617021277
"Arf4_chr14_26638074_26665084_+_ENSMUSG00000021877.12_ENSMUSG00000021877.12.unspliced",80,35,42,0.4375
"Arfgap1_chr2_180967225_180982526_+_ENSMUSG00000027575.19_ENSMUSG00000027575.19.unspliced",79,15,60,0.189873417721519
"Arfgap2_chr2_91264974_91276931_+_ENSMUSG00000027255.14_ENSMUSG00000027255.14.unspliced",88,17,68,0.193181818181818
"Arfgap3_chr15_83299739_83350247_-_ENSMUSG00000054277.8_ENSMUSG00000054277.8.unspliced",71,24,45,0.338028169014085
"Arfgef1_chr1_10137571_10232670_-_ENSMUSG00000067851.11_ENSMUSG00000067851.11.unspliced",81,23,55,0.283950617283951
"Arfgef2_chr2_166805588_166898052_+_ENSMUSG00000074582.10_ENSMUSG00000074582.10.unspliced",66,27,38,0.409090909090909
"Arfgef3_chr10_18581839_18743949_-_ENSMUSG00000019852.7_ENSMUSG00000019852.7.unspliced",49,13,35,0.26530612244898
"Arfgef3_chr10_18581839_18743949_-_ENSMUSG00000019852.7_ENSMUST00000019999.6",48,12,36,0.25
"Arfip1_chr3_84496093_84582625_-_ENSMUSG00000074513.9_ENSMUSG00000074513.9.unspliced",140,51,82,0.364285714285714
"Arfip2_chr7_105634203_105640416_-_ENSMUSG00000030881.15_ENSMUSG00000030881.15.unspliced",60,20,38,0.333333333333333
"Arfrp1_chr2_181357690_181365404_-_ENSMUSG00000038671.15_ENSMUSG00000038671.15.unspliced",82,26,54,0.317073170731707
"Arglu1_chr8_8665075_8690521_-_ENSMUSG00000040459.11_ENSMUSG00000040459.11.unspliced",63,18,41,0.285714285714286
"Arhgap10_chr8_77250366_77517953_-_ENSMUSG00000037148.8_ENSMUSG00000037148.8.unspliced",69,3,65,0.0434782608695652
"Arhgap11a_chr2_113831492_113848661_-_ENSMUSG00000041219.14_ENSMUSG00000041219.14.unspliced",86,28,52,0.325581395348837
"Arhgap12_chr18_6024427_6136098_-_ENSMUSG00000041225.16_ENSMUSG00000041225.16.unspliced",101,25,71,0.247524752475248
"Arhgap12_chr18_6024427_6136098_-_ENSMUSG00000041225.16_ENSMUST00000062584.13",93,34,57,0.365591397849462
"Arhgap17_chr7_123279218_123369915_-_ENSMUSG00000030766.15_ENSMUSG00000030766.15.unspliced",54,1,51,0.0185185185185185
"Arhgap18_chr10_26753421_26918648_+_ENSMUSG00000039031.16_ENSMUSG00000039031.16.unspliced",115,39,69,0.339130434782609
"Arhgap19_chr19_41766588_41802047_-_ENSMUSG00000025154.15_ENSMUSG00000025154.15.unspliced",61,4,54,0.0655737704918033
"Arhgap21_chr2_20847919_20968881_-_ENSMUSG00000036591.16_ENSMUSG00000036591.16.unspliced",67,5,61,0.0746268656716418
"Arhgap22_chr14_33214026_33369934_+_ENSMUSG00000063506.14_ENSMUSG00000063506.14.unspliced",80,18,60,0.225
"Arhgap23_chr11_97415533_97502402_+_ENSMUSG00000049807.16_ENSMUSG00000049807.16.unspliced",64,25,36,0.390625
"Arhgap26_chr18_38676718_39110534_+_ENSMUSG00000118193.1_ENSMUSG00000118193.1.unspliced",67,14,50,0.208955223880597
"Arhgap26_chr18_38993145_39376284_+_ENSMUSG00000036452.18_ENSMUSG00000036452.18.unspliced",60,28,30,0.466666666666667
"Arhgap26_chr18_38993145_39376284_+_ENSMUSG00000036452.18_ENSMUST00000155576.7",53,9,42,0.169811320754717
"Arhgap27_chr11_103331497_103363692_-_ENSMUSG00000034255.17_ENSMUSG00000034255.17.unspliced",74,4,66,0.0540540540540541
"Arhgap27os1_chr11_103363213_103364651_+_ENSMUSG00000085733.1_ENSMUSG00000085733.1.unspliced",93,33,57,0.354838709677419
"Arhgap28_chr17_67842713_68004120_-_ENSMUSG00000024043.13_ENSMUSG00000024043.13.unspliced",47,3,40,0.0638297872340425
"Arhgap28_chr17_67842713_68004120_-_ENSMUSG00000024043.13_ENSMUST00000163865.7",62,22,38,0.354838709677419
"Arhgap28_chr17_67842713_68004120_-_ENSMUSG00000024043.13_ENSMUST00000164647.7",65,25,36,0.384615384615385
"Arhgap29_chr3_121952541_122016753_+_ENSMUSG00000039831.16_ENSMUSG00000039831.16.unspliced",60,9,49,0.15
"Arhgap31_chr16_38598340_38713274_-_ENSMUSG00000022799.4_ENSMUSG00000022799.4.unspliced",88,25,61,0.284090909090909
"Arhgap32_chr9_32116136_32268446_+_ENSMUSG00000041444.14_ENSMUSG00000041444.14.unspliced",72,26,42,0.361111111111111
"Arhgap33_chr7_30522226_30535060_-_ENSMUSG00000036882.7_ENSMUSG00000036882.7.unspliced",49,12,34,0.244897959183673
"Arhgap35_chr7_16493719_16614993_-_ENSMUSG00000058230.12_ENSMUSG00000058230.12.unspliced",77,11,60,0.142857142857143
"Arhgap39_chr15_76723985_76818170_-_ENSMUSG00000033697.16_ENSMUSG00000033697.16.unspliced",62,2,59,0.032258064516129
"Arhgap4_chrX_73891442_73921870_-_ENSMUSG00000031389.17_ENSMUSG00000031389.17.unspliced",100,28,66,0.28
"Arhgap42_chr9_8994329_9239101_-_ENSMUSG00000050730.17_ENSMUSG00000050730.17.unspliced",69,8,58,0.115942028985507
"Arhgap44_chr11_65002039_65162961_-_ENSMUSG00000033389.16_ENSMUSG00000033389.16.unspliced",54,10,42,0.185185185185185
"Arhgap5_chr12_52503972_52571975_+_ENSMUSG00000035133.9_ENSMUSG00000035133.9.unspliced",109,29,75,0.26605504587156
"Arhgap6_chrX_168795099_169304435_+_ENSMUSG00000031355.16_ENSMUSG00000031355.16.unspliced",54,20,29,0.37037037037037
"Arhgap8_chr15_84720052_84772207_+_ENSMUSG00000078954.9_ENSMUSG00000078954.9.unspliced",71,26,43,0.366197183098592
"Arhgdib_chr6_136923655_136941899_-_ENSMUSG00000030220.13_ENSMUSG00000030220.13.unspliced",60,26,34,0.433333333333333
"Arhgdig_chr17_26199183_26207786_-_ENSMUSG00000073433.11_ENSMUSG00000073433.11.unspliced",101,28,71,0.277227722772277
"Arhgef1_chr7_24902912_24926594_+_ENSMUSG00000040940.18_ENSMUSG00000040940.18.unspliced",72,3,64,0.0416666666666667
"Arhgef10_chr8_14911663_15001085_+_ENSMUSG00000071176.10_ENSMUSG00000071176.10.unspliced",73,19,51,0.26027397260274
"Arhgef10l_chr4_140514485_140666012_-_ENSMUSG00000040964.16_ENSMUSG00000040964.16.unspliced",59,11,46,0.186440677966102
"Arhgef11_chr3_87617559_87738034_+_ENSMUSG00000041977.18_ENSMUSG00000041977.18.unspliced",100,23,69,0.23
"Arhgef12_chr9_42963842_43107239_-_ENSMUSG00000059495.14_ENSMUSG00000059495.14.unspliced",93,3,83,0.032258064516129
"Arhgef16_chr4_154278486_154301676_-_ENSMUSG00000029032.12_ENSMUSG00000029032.12.unspliced",88,22,61,0.25
"Arhgef17_chr7_100869752_100932107_-_ENSMUSG00000032875.8_ENSMUSG00000032875.8.unspliced",81,10,70,0.123456790123457
"Arhgef18_chr8_3353415_3456601_+_ENSMUSG00000004568.13_ENSMUSG00000004568.13.unspliced",75,6,69,0.08
"Arhgef19_chr4_141239499_141257564_+_ENSMUSG00000028919.11_ENSMUSG00000028919.11.unspliced",64,18,41,0.28125
"Arhgef2_chr3_88605966_88648052_+_ENSMUSG00000028059.16_ENSMUSG00000028059.16.unspliced",98,6,89,0.0612244897959184
"Arhgef25_chr10_127182525_127190083_-_ENSMUSG00000019467.15_ENSMUSG00000019467.15.unspliced",65,2,62,0.0307692307692308
"Arhgef26_chr3_62338344_62462221_+_ENSMUSG00000036885.14_ENSMUSG00000036885.14.unspliced",75,37,37,0.493333333333333
"Arhgef28_chr13_97899469_98206439_-_ENSMUSG00000021662.11_ENSMUSG00000021662.11.unspliced",70,32,34,0.457142857142857
"Arhgef3_chr14_27114899_27403911_+_ENSMUSG00000021895.10_ENSMUSG00000021895.10.unspliced",49,14,31,0.285714285714286
"Arhgef33_chr17_80307407_80400081_+_ENSMUSG00000054901.7_ENSMUSG00000054901.7.unspliced",63,17,42,0.26984126984127
"Arhgef37_chr18_61491657_61536594_-_ENSMUSG00000045094.8_ENSMUSG00000045094.8.unspliced",92,29,61,0.315217391304348
"Arhgef4_chr1_34678188_34813309_+_ENSMUSG00000037509.21_ENSMUSG00000037509.21.unspliced",51,8,39,0.156862745098039
"Arhgef4_chr1_34678188_34813309_+_ENSMUSG00000037509.21_ENSMUST00000047664.15",44,17,24,0.386363636363636
"Arhgef40_chr14_51984719_52006251_+_ENSMUSG00000004562.16_ENSMUSG00000004562.16.unspliced",67,21,43,0.313432835820896
"Arhgef5_chr6_43265582_43289320_+_ENSMUSG00000033542.13_ENSMUSG00000033542.13.unspliced",97,35,60,0.360824742268041
"Arhgef6_chrX_57231485_57338729_-_ENSMUSG00000031133.12_ENSMUSG00000031133.12.unspliced",46,15,28,0.326086956521739
"Arhgef6_chrX_57231485_57338729_-_ENSMUSG00000031133.12_ENSMUST00000033468.10",69,23,44,0.333333333333333
"Arhgef7_chr8_11727721_11835219_+_ENSMUSG00000031511.16_ENSMUSG00000031511.16.unspliced",88,16,69,0.181818181818182
"Arid1a_chr4_133679008_133756769_-_ENSMUSG00000007880.16_ENSMUSG00000007880.16.unspliced",56,1,52,0.0178571428571429
"Arid1b_chr17_4994332_5347656_+_ENSMUSG00000069729.14_ENSMUSG00000069729.14.unspliced",51,5,43,0.0980392156862745
"Arid2_chr15_96287518_96404992_+_ENSMUSG00000033237.19_ENSMUSG00000033237.19.unspliced",65,17,46,0.261538461538462
"Arid3b_chr9_57790353_57836793_-_ENSMUSG00000004661.15_ENSMUSG00000004661.15.unspliced",81,34,42,0.419753086419753
"Arid4a_chr12_71015990_71098592_+_ENSMUSG00000048118.17_ENSMUSG00000048118.17.unspliced",90,10,77,0.111111111111111
"Arid4b_chr13_14063232_14199603_+_ENSMUSG00000039219.18_ENSMUSG00000039219.18.unspliced",58,14,43,0.241379310344828
"Arid4b_chr13_14063232_14199603_+_ENSMUSG00000039219.18_ENSMUST00000039538.14",55,22,32,0.4
"Arid4b_chr13_14063232_14199603_+_ENSMUSG00000039219.18_ENSMUST00000110533.1",64,18,46,0.28125
"Arid5a_chr1_36307733_36324029_+_ENSMUSG00000037447.16_ENSMUSG00000037447.16.unspliced",84,9,72,0.107142857142857
"Arid5b_chr10_68092520_68278740_-_ENSMUSG00000019947.10_ENSMUSG00000019947.10.unspliced",73,14,54,0.191780821917808
"Arih1_chr9_59388258_59486618_-_ENSMUSG00000025234.11_ENSMUSG00000025234.11.unspliced",87,17,67,0.195402298850575
"Arih2_chr9_108602942_108649386_-_ENSMUSG00000064145.12_ENSMUSG00000064145.12.unspliced",93,20,69,0.21505376344086
"Arl1_chr10_88730858_88744094_+_ENSMUSG00000060904.14_ENSMUSG00000060904.14.unspliced",81,32,45,0.395061728395062
"Arl10_chr13_54575015_54581128_+_ENSMUSG00000025870.10_ENSMUSG00000025870.10.unspliced",86,30,50,0.348837209302326
"Arl13b_chr16_62793685_62847040_-_ENSMUSG00000022911.11_ENSMUSG00000022911.11.unspliced",57,14,41,0.245614035087719
"Arl14ep_chr2_106962527_106974424_-_ENSMUSG00000027122.15_ENSMUSG00000027122.15.unspliced",78,10,64,0.128205128205128
"Arl15_chr13_113794505_114157461_+_ENSMUSG00000042348.10_ENSMUSG00000042348.10.unspliced",92,14,73,0.152173913043478
"Arl15_chr13_113794505_114157461_+_ENSMUSG00000042348.10_ENSMUST00000224068.1",69,27,41,0.391304347826087
"Arl2_chr19_6134374_6141548_-_ENSMUSG00000024944.6_ENSMUSG00000024944.6.unspliced",78,31,44,0.397435897435897
"Arl2bp_chr8_94666600_94674425_+_ENSMUSG00000031776.17_ENSMUSG00000031776.17.unspliced",99,42,52,0.424242424242424
"Arl3_chr19_46531096_46573198_-_ENSMUSG00000025035.9_ENSMUSG00000025035.9.unspliced",80,22,52,0.275
"Arl4c_chr1_88673125_88702221_-_ENSMUSG00000049866.12_ENSMUSG00000049866.12.unspliced",81,22,55,0.271604938271605
"Arl5a_chr2_52397951_52424901_-_ENSMUSG00000036093.7_ENSMUSG00000036093.7.unspliced",59,14,41,0.23728813559322
"Arl5b_chr2_15049395_15082456_+_ENSMUSG00000017418.14_ENSMUSG00000017418.14.unspliced",65,18,46,0.276923076923077
"Arl5b_chr2_15049395_15082456_+_ENSMUSG00000017418.14_ENSMUST00000239125.1",80,11,66,0.1375
"Arl6_chr16_59612949_59639391_-_ENSMUSG00000022722.18_ENSMUSG00000022722.18.unspliced",72,35,33,0.486111111111111
"Arl6ip1_chr7_118118891_118129662_-_ENSMUSG00000030654.9_ENSMUSG00000030654.9.unspliced",61,20,37,0.327868852459016
"Arl6ip5_chr6_97210689_97233315_+_ENSMUSG00000035199.6_ENSMUSG00000035199.6.unspliced",82,42,33,0.51219512195122
"Arl6ip6_chr2_53191726_53219220_+_ENSMUSG00000026960.6_ENSMUSG00000026960.6.unspliced",67,27,38,0.402985074626866
"Arl8b_chr6_108783099_108825278_+_ENSMUSG00000030105.8_ENSMUSG00000030105.8.unspliced",77,18,58,0.233766233766234
"Arl9_chr5_77004055_77010606_+_ENSMUSG00000063820.11_ENSMUSG00000063820.11.unspliced",49,16,33,0.326530612244898
"Armc1_chr3_19131402_19163065_-_ENSMUSG00000027599.9_ENSMUSG00000027599.9.unspliced",63,7,52,0.111111111111111
"Armc10_chr5_21645813_21662694_+_ENSMUSG00000038525.16_ENSMUSG00000038525.16.unspliced",76,15,58,0.197368421052632
"Armc5_chr7_128237342_128245100_+_ENSMUSG00000042178.6_ENSMUSG00000042178.6.unspliced",64,31,30,0.484375
"Armc6_chr8_70220172_70234466_-_ENSMUSG00000002343.11_ENSMUSG00000002343.11.unspliced",39,8,29,0.205128205128205
"Armc7_chr11_115475667_115490467_+_ENSMUSG00000057219.11_ENSMUSG00000057219.11.unspliced",87,8,74,0.0919540229885057
"Armc8_chr9_99478372_99568899_-_ENSMUSG00000032468.11_ENSMUSG00000032468.11.unspliced",56,10,44,0.178571428571429
"Armc9_chr1_86154780_86278284_+_ENSMUSG00000062590.13_ENSMUSG00000062590.13.unspliced",70,8,59,0.114285714285714
"Armcx5_chrX_135742733_135747322_+_ENSMUSG00000072969.2_ENSMUSG00000072969.2.unspliced",76,24,49,0.31578947368421
"Armh3_chr19_45817364_45998488_-_ENSMUSG00000039901.10_ENSMUSG00000039901.10.unspliced",75,12,60,0.16
"Armh4_chr14_49675952_49783383_-_ENSMUSG00000036242.15_ENSMUSG00000036242.15.unspliced",85,37,46,0.435294117647059
"Armt1_chr10_4432467_4455141_+_ENSMUSG00000061759.15_ENSMUSG00000061759.15.unspliced",74,11,61,0.148648648648649
"Arnt_chr3_95434388_95497240_+_ENSMUSG00000015522.18_ENSMUSG00000015522.18.unspliced",53,10,42,0.188679245283019
"Arnt2_chr7_84246278_84410176_-_ENSMUSG00000015709.9_ENSMUSG00000015709.9.unspliced",58,19,36,0.327586206896552
"Arntl_chr7_113207465_113314126_+_ENSMUSG00000055116.8_ENSMUSG00000055116.8.unspliced",59,13,42,0.220338983050847
"Arntl2_chr6_146796055_146833529_+_ENSMUSG00000040187.15_ENSMUSG00000040187.15.unspliced",83,14,68,0.168674698795181
"Arntl2_chr6_146796055_146833529_+_ENSMUSG00000040187.15_ENSMUST00000080530.5",79,22,55,0.278481012658228
"Arntl2_chr6_146796055_146833529_+_ENSMUSG00000040187.15_ENSMUST00000111639.7",69,17,51,0.246376811594203
"Arpc1a_chr5_145083830_145108761_+_ENSMUSG00000029621.14_ENSMUSG00000029621.14.unspliced",66,20,40,0.303030303030303
"Arpc1b_chr5_145114215_145130705_+_ENSMUSG00000029622.16_ENSMUSG00000029622.16.unspliced",55,23,32,0.418181818181818
"Arpc2_chr1_74236084_74268209_+_ENSMUSG00000006304.14_ENSMUSG00000006304.14.unspliced",66,24,38,0.363636363636364
"Arpc3_chr5_122391878_122414184_+_ENSMUSG00000029465.14_ENSMUSG00000029465.14.unspliced",66,18,47,0.272727272727273
"Arpc4_chr6_113378115_113390448_+_ENSMUSG00000079426.13_ENSMUSG00000079426.13.unspliced",73,11,56,0.150684931506849
"Arpc5l_chr2_39005348_39015877_+_ENSMUSG00000026755.14_ENSMUSG00000026755.14.unspliced",77,24,51,0.311688311688312
"Arpp19_chr9_75037614_75060313_+_ENSMUSG00000007656.13_ENSMUSG00000007656.13.unspliced",49,23,25,0.469387755102041
"Arrb1_chr7_99535466_99606771_+_ENSMUSG00000018909.15_ENSMUSG00000018909.15.unspliced",98,25,69,0.255102040816327
"Arrb2_chr11_70432635_70440828_+_ENSMUSG00000060216.15_ENSMUSG00000060216.15.unspliced",85,18,65,0.211764705882353
"Arrdc1_chr2_24925352_24935252_-_ENSMUSG00000026972.15_ENSMUSG00000026972.15.unspliced",107,29,78,0.271028037383178
"Arrdc2_chr8_70835129_70839720_-_ENSMUSG00000002910.11_ENSMUSG00000002910.11.unspliced",66,25,40,0.378787878787879
"Arrdc3_chr13_80883384_80896042_+_ENSMUSG00000074794.10_ENSMUSG00000074794.10.unspliced",66,26,37,0.393939393939394
"Arrdc3_chr13_80883384_80896042_+_ENSMUSG00000074794.10_ENSMUST00000161441.1",86,32,53,0.372093023255814
"Arrdc4_chr7_68736995_68749241_-_ENSMUSG00000042659.15_ENSMUSG00000042659.15.unspliced",62,30,29,0.483870967741935
"Arsa_chr15_89472476_89477425_-_ENSMUSG00000022620.14_ENSMUSG00000022620.14.unspliced",56,8,46,0.142857142857143
"Arsb_chr13_93771630_93943016_+_ENSMUSG00000042082.7_ENSMUSG00000042082.7.unspliced",57,23,30,0.403508771929825
"Arsg_chr11_109473374_109573330_+_ENSMUSG00000020604.13_ENSMUSG00000020604.13.unspliced",69,21,44,0.304347826086957
"Arsi_chr18_60911780_60918561_+_ENSMUSG00000036412.5_ENSMUSG00000036412.5.unspliced",63,18,42,0.285714285714286
"Arsk_chr13_76060422_76098660_-_ENSMUSG00000021592.18_ENSMUSG00000021592.18.unspliced",73,33,38,0.452054794520548
"Art4_chr6_136848451_136857733_-_ENSMUSG00000030217.2_ENSMUSG00000030217.2.unspliced",63,31,27,0.492063492063492
"Art5_chr7_102096879_102109489_-_ENSMUSG00000070424.12_ENSMUSG00000070424.12.unspliced",69,9,57,0.130434782608696
"Art5_chr7_102096879_102109489_-_ENSMUSG00000070424.12_ENSMUST00000094128.8",95,36,55,0.378947368421053
"Artn_chr4_117926162_117929763_-_ENSMUSG00000028539.14_ENSMUSG00000028539.14.unspliced",59,15,44,0.254237288135593
"Arv1_chr8_124722139_124734123_+_ENSMUSG00000031982.5_ENSMUSG00000031982.5.unspliced",59,24,33,0.406779661016949
"Arvcf_chr16_18348182_18407076_+_ENSMUSG00000000325.16_ENSMUSG00000000325.16.unspliced",76,2,73,0.0263157894736842
"Arvcf_chr16_18348182_18407076_+_ENSMUSG00000000325.16_ENSMUST00000115610.1",70,7,61,0.1
"As3mt_chr19_46707458_46741099_+_ENSMUSG00000003559.8_ENSMUSG00000003559.8.unspliced",81,24,49,0.296296296296296
"As3mt_chr19_46707458_46741099_+_ENSMUSG00000003559.8_ENSMUST00000237219.1",80,28,48,0.35
"Asah1_chr8_41340197_41374773_-_ENSMUSG00000031591.14_ENSMUSG00000031591.14.unspliced",56,11,41,0.196428571428571
"Asah2_chr19_31982597_32108211_-_ENSMUSG00000024887.10_ENSMUSG00000024887.10.unspliced",58,28,28,0.482758620689655
"Asah2_chr19_31982597_32108211_-_ENSMUSG00000024887.10_ENSMUST00000235213.1",44,14,29,0.318181818181818
"Asah2_chr19_31982597_32108211_-_ENSMUSG00000024887.10_ENSMUST00000235273.1",48,7,39,0.145833333333333
"Asap1_chr15_64086857_64382919_-_ENSMUSG00000022377.16_ENSMUSG00000022377.16.unspliced",76,25,46,0.328947368421053
"Asap2_chr12_20990459_21270171_+_ENSMUSG00000052632.16_ENSMUSG00000052632.16.unspliced",65,4,58,0.0615384615384615
"Asap3_chr4_136206365_136245216_+_ENSMUSG00000036995.7_ENSMUSG00000036995.7.unspliced",85,24,57,0.282352941176471
"Asb1_chr1_91540544_91559589_+_ENSMUSG00000026311.16_ENSMUSG00000026311.16.unspliced",79,10,67,0.126582278481013
"Asb1_chr1_91540544_91559589_+_ENSMUSG00000026311.16_ENSMUST00000086843.10",90,17,68,0.188888888888889
"Asb13_chr13_3634032_3653822_+_ENSMUSG00000033781.7_ENSMUSG00000033781.7.unspliced",47,17,28,0.361702127659574
"Asb3_chr11_30885416_31102704_+_ENSMUSG00000020305.13_ENSMUSG00000020305.13.unspliced",64,27,33,0.421875
"Asb3_chr11_30885416_31102704_+_ENSMUSG00000020305.13_ENSMUST00000117883.1",84,41,41,0.488095238095238
"Asb5_chr8_54529580_54587875_+_ENSMUSG00000031519.4_ENSMUSG00000031519.4.unspliced",50,20,26,0.4
"Asb6_chr2_30823097_30830333_-_ENSMUSG00000039483.10_ENSMUSG00000039483.10.unspliced",66,18,47,0.272727272727273
"Asb7_chr7_66644565_66689596_-_ENSMUSG00000030509.17_ENSMUSG00000030509.17.unspliced",70,15,51,0.214285714285714
"Asb8_chr15_98134637_98165625_-_ENSMUSG00000048175.13_ENSMUSG00000048175.13.unspliced",103,39,60,0.378640776699029
"Ascc1_chr10_60002805_60099988_+_ENSMUSG00000044475.14_ENSMUSG00000044475.14.unspliced",107,38,62,0.355140186915888
"Ascc2_chr11_4637747_4685699_+_ENSMUSG00000020412.16_ENSMUSG00000020412.16.unspliced",79,12,63,0.151898734177215
"Ascc3_chr10_50592669_50851485_+_ENSMUSG00000038774.9_ENSMUSG00000038774.9.unspliced",74,9,61,0.121621621621622
"Ascc3_chr10_50592669_50851485_+_ENSMUSG00000038774.9_ENSMUST00000035606.9",72,5,65,0.0694444444444444
"Ascl2_chr7_142966829_142969264_-_ENSMUSG00000009248.6_ENSMUSG00000009248.6.unspliced",72,37,32,0.513888888888889
"Asf1a_chr10_53596757_53609225_+_ENSMUSG00000019857.7_ENSMUSG00000019857.7.unspliced",120,20,95,0.166666666666667
"Asf1b_chr8_83955507_83970197_+_ENSMUSG00000005470.8_ENSMUSG00000005470.8.unspliced",82,30,50,0.365853658536585
"Ash1l_chr3_88950622_89079375_+_ENSMUSG00000028053.13_ENSMUSG00000028053.13.unspliced",63,9,49,0.142857142857143
"Ash1l_chr3_88950622_89079375_+_ENSMUSG00000028053.13_ENSMUST00000090933.4",61,14,47,0.229508196721311
"Ash2l_chr8_25815996_25847694_-_ENSMUSG00000031575.18_ENSMUSG00000031575.18.unspliced",53,11,41,0.207547169811321
"Asic3_chr5_24413392_24417835_+_ENSMUSG00000038276.12_ENSMUSG00000038276.12.unspliced",69,25,41,0.36231884057971
"Asl_chr5_130011258_130029247_-_ENSMUSG00000025533.15_ENSMUSG00000025533.15.unspliced",100,23,72,0.23
"Asmt_chrX_170672644_170678054_+_ENSMUSG00000093806.1_ENSMUSG00000093806.1.unspliced",50,27,22,0.54
"Asna1_chr8_85017931_85025281_-_ENSMUSG00000052456.9_ENSMUSG00000052456.9.unspliced",71,20,46,0.28169014084507
"Asns_chr6_7675169_7693254_-_ENSMUSG00000029752.12_ENSMUSG00000029752.12.unspliced",83,27,52,0.325301204819277
"Asnsd1_chr1_53344617_53352752_-_ENSMUSG00000026095.15_ENSMUSG00000026095.15.unspliced",67,23,38,0.343283582089552
"Aspa_chr11_73304992_73329596_-_ENSMUSG00000020774.9_ENSMUSG00000020774.9.unspliced",62,21,37,0.338709677419355
"Aspg_chr12_112106679_112127559_+_ENSMUSG00000037686.6_ENSMUSG00000037686.6.unspliced",77,28,46,0.363636363636364
"Asph_chr4_9448069_9669344_-_ENSMUSG00000028207.18_ENSMUSG00000028207.18.unspliced",44,4,40,0.0909090909090909
